case_id,pseudo_user,user_id,week_start,category,case_md,answerability_r1,reason_r1,answerability_r2,reason_r2
C003,U003,subject_YfMI8Nn,2024-11-19,tn,cases/C003.md,0,insufficient,1,answerable
C013,U013,subject_3QS6nVs,2024-11-19,tn,cases/C013.md,1,insufficient,0,insufficient
C014,U014,subject_8IkaJmD,2024-11-19,tn,cases/C014.md,1,answerable,0,insufficient
C018,U018,subject_OqeErz1,2024-11-19,tn,cases/C018.md,0,conflicting,1,answerable
C019,U019,subject_wSAezDL,2024-11-19,tn,cases/C019.md,1,answerable,0,insufficient
C024,U024,subject_CCy8FYj,2024-11-19,tn,cases/C024.md,0,insufficient,1,answerable
C026,U026,subject_zeSUxse,2024-11-19,tn,cases/C026.md,0,insufficient,1,answerable
C027,U027,subject_JkiY599,2024-11-19,tn,cases/C027.md,1,answerable,0,insufficient
C037,U037,subject_jKjsuK3,2024-11-19,tn,cases/C037.md,1,answerable,0,insufficient
C038,U038,subject_XWsbkkB,2024-11-19,tn,cases/C038.md,0,insufficient,1,answerable
C051,U051,subject_KWtdvVD,2024-11-19,tn,cases/C051.md,1,answerable,0,insufficient
C054,U054,subject_8Angegc,2024-11-19,tn,cases/C054.md,1,answerable,0,insufficient
C061,U061,subject_bUKx9WJ,2024-11-19,tn,cases/C061.md,1,answerable,0,insufficient
C063,U063,subject_DcrF6Vd,2024-11-19,tn,cases/C063.md,1,answerable,0,insufficient
C066,U066,subject_LLeoV00,2024-11-19,tn,cases/C066.md,0,insufficient,1,answerable
C069,U069,subject_lbOpJeO,2024-11-19,tn,cases/C069.md,0,insufficient,1,answerable
C071,U071,subject_btmEWsI,2024-11-19,tn,cases/C071.md,1,answerable,0,insufficient
C073,U073,subject_N7cxmaL,2024-11-19,tn,cases/C073.md,0,insufficient,1,answerable
C077,U077,subject_eFCCTTb,2024-11-19,tn,cases/C077.md,0,insufficient,1,answerable
C094,U094,subject_mGL8R8k,2024-11-19,fn,cases/C094.md,1,answerable,0,insufficient
